Time,	NewLatentTotal,	NewTotalInfectiousTotal,	NewRecoveredTotal,	NewRelapseTotal
163,	10.610000,	33.790000,	14.445000,	0.000000
164,	10.555000,	32.499999,	13.690001,	0.000000
165,	9.775000,	31.334999,	12.635000,	0.000000
166,	9.425000,	30.310000,	11.680000,	0.000000
167,	9.140000,	28.315001,	10.585000,	0.000000
168,	8.460000,	26.825001,	9.975000,	0.000000
169,	7.975000,	24.979998,	9.495000,	0.000000
170,	7.550000,	23.064999,	9.100000,	0.000000
171,	7.335000,	22.724999,	8.445000,	0.000000
172,	6.635000,	21.000000,	8.065001,	0.000000
173,	6.715000,	20.460000,	8.220000,	0.000000
174,	6.230000,	20.019999,	7.475000,	0.000000
175,	6.205000,	18.839999,	7.600000,	0.000000
176,	6.115000,	18.910000,	7.370000,	0.000000
177,	6.230000,	18.635000,	7.040000,	0.000000
178,	5.925000,	18.580000,	6.920000,	0.000000
179,	5.470000,	16.835001,	6.730000,	0.000000
180,	5.340000,	16.685001,	6.375000,	0.000000
181,	5.000000,	15.610000,	5.745000,	0.000000
182,	4.850000,	14.664999,	5.615000,	0.000000
183,	4.850000,	14.175000,	5.475000,	0.000000
184,	4.205000,	13.655000,	5.215000,	0.000000
185,	4.460000,	13.220000,	4.600000,	0.000000
186,	4.380000,	12.730001,	4.585000,	0.000000
187,	3.945000,	12.010000,	4.205000,	0.000000
188,	3.800000,	11.530000,	4.265000,	0.000000
189,	3.760000,	11.410000,	4.150000,	0.000000
190,	3.735000,	11.465000,	4.195000,	0.000000
191,	3.485000,	10.330000,	3.935000,	0.000000
192,	3.610000,	10.534999,	3.820000,	0.000000
193,	3.730000,	10.585000,	3.475000,	0.000000
194,	3.295000,	9.685000,	3.565000,	0.000000
195,	3.100000,	9.110000,	3.360000,	0.000000
196,	3.310000,	9.495000,	3.080000,	0.000000
197,	3.020000,	8.840001,	3.090000,	0.000000
198,	3.025000,	8.980000,	3.115000,	0.000000
199,	2.770000,	7.845000,	2.650000,	0.000000
200,	2.695000,	7.730000,	2.650000,	0.000000
