Time,	NewLatent,	NewInfectious,	NewInfectiousIdentified,	NewInfectiousUnderTreatmean,	NewInfectiousNotCured,	NewRecoveredLatent,	NewRelapse
190,	2.190000,	2.260000,	1.750000,	5.580000,	0.130000,	2.340000,	0.000000
191,	2.090000,	2.050000,	1.540000,	5.240000,	0.160000,	2.040000,	0.000000
192,	2.480000,	2.280000,	1.450000,	4.970000,	0.100000,	2.270000,	0.000000
193,	1.950000,	2.050000,	1.210000,	4.710000,	0.030000,	2.250000,	0.000000
194,	2.210000,	2.030000,	1.610000,	5.140000,	0.090000,	2.100000,	0.000000
195,	2.150000,	2.180000,	1.580000,	5.000000,	0.080000,	2.360000,	0.000000
196,	2.020000,	2.000000,	1.380000,	4.870000,	0.080000,	1.910000,	0.000000
197,	1.780000,	1.780000,	1.140000,	4.610000,	0.060000,	2.170000,	0.000000
198,	1.910000,	1.820000,	1.120000,	4.260000,	0.090000,	1.600000,	0.000000
199,	1.930000,	1.840000,	1.050000,	3.980000,	0.090000,	2.120000,	0.000000
200,	1.740000,	1.780000,	1.080000,	4.200000,	0.080000,	1.730000,	0.000000
