Time,	LatentMB,	InfectiousMB,	InfectiousIdentifiedMB,	InfectiousUnderTreatmeanMB,	InfectiousNotCuredMB,	TotalInfectiousMB,	RecoveredLatentMB,	RelapseMB
184,	0.085000,	0.540000,	0.000000,	9.865000,	0.180000,	0.720000,	0.580000,	0.000000
185,	0.100000,	0.495000,	0.000000,	9.140000,	0.160000,	0.655000,	0.495000,	0.000000
186,	0.125000,	0.470000,	0.000000,	8.460000,	0.145000,	0.615000,	0.480000,	0.000000
187,	0.085000,	0.460000,	0.000000,	8.030000,	0.130000,	0.590000,	0.450000,	0.000000
188,	0.060000,	0.440000,	0.000000,	7.715000,	0.150000,	0.590000,	0.315000,	0.000000
189,	0.060000,	0.425000,	0.000000,	7.320000,	0.135000,	0.560000,	0.330000,	0.000000
190,	0.060000,	0.400000,	0.000000,	6.795000,	0.145000,	0.545000,	0.380000,	0.000000
191,	0.060000,	0.390000,	0.000000,	6.375000,	0.135000,	0.525000,	0.390000,	0.000000
192,	0.065000,	0.405000,	0.000000,	6.050000,	0.120000,	0.525000,	0.260000,	0.000000
193,	0.060000,	0.390000,	0.005000,	5.595000,	0.130000,	0.525000,	0.280000,	0.000000
194,	0.070000,	0.405000,	0.000000,	5.270000,	0.130000,	0.535000,	0.290000,	0.000000
195,	0.060000,	0.375000,	0.005000,	5.030000,	0.095000,	0.475000,	0.280000,	0.000000
196,	0.045000,	0.365000,	0.000000,	4.785000,	0.100000,	0.465000,	0.260000,	0.000000
197,	0.035000,	0.375000,	0.000000,	4.525000,	0.105000,	0.480000,	0.220000,	0.000000
198,	0.070000,	0.340000,	0.000000,	4.210000,	0.120000,	0.460000,	0.185000,	0.000000
199,	0.075000,	0.350000,	0.000000,	4.015000,	0.100000,	0.450000,	0.185000,	0.000000
200,	0.065000,	0.340000,	0.000000,	3.820000,	0.090000,	0.430000,	0.170000,	0.000000
201,	0.085000,	0.335000,	0.000000,	3.635000,	0.080000,	0.415000,	0.180000,	0.000000
202,	0.075000,	0.330000,	0.000000,	3.470000,	0.080000,	0.410000,	0.140000,	0.000000
203,	0.060000,	0.330000,	0.000000,	3.255000,	0.085000,	0.415000,	0.180000,	0.000000
204,	0.065000,	0.310000,	0.000000,	3.060000,	0.090000,	0.400000,	0.170000,	0.000000
205,	0.055000,	0.300000,	0.000000,	2.935000,	0.080000,	0.380000,	0.135000,	0.000000
206,	0.060000,	0.295000,	0.000000,	2.800000,	0.080000,	0.375000,	0.170000,	0.000000
207,	0.035000,	0.295000,	0.000000,	2.680000,	0.065000,	0.360000,	0.140000,	0.000000
208,	0.040000,	0.310000,	0.000000,	2.520000,	0.070000,	0.380000,	0.155000,	0.000000
209,	0.040000,	0.315000,	0.000000,	2.355000,	0.070000,	0.385000,	0.150000,	0.000000
210,	0.035000,	0.325000,	0.000000,	2.295000,	0.055000,	0.380000,	0.125000,	0.000000
211,	0.050000,	0.330000,	0.000000,	2.265000,	0.065000,	0.395000,	0.095000,	0.000000
212,	0.050000,	0.320000,	0.000000,	2.135000,	0.065000,	0.385000,	0.120000,	0.000000
213,	0.055000,	0.340000,	0.000000,	2.055000,	0.070000,	0.410000,	0.115000,	0.000000
214,	0.025000,	0.345000,	0.000000,	1.975000,	0.065000,	0.410000,	0.145000,	0.000000
215,	0.045000,	0.325000,	0.000000,	1.975000,	0.065000,	0.390000,	0.100000,	0.000000
216,	0.055000,	0.305000,	0.000000,	1.930000,	0.065000,	0.370000,	0.065000,	0.000000
217,	0.060000,	0.300000,	0.010000,	1.880000,	0.060000,	0.370000,	0.070000,	0.000000
218,	0.065000,	0.290000,	0.000000,	1.895000,	0.045000,	0.335000,	0.070000,	0.000000
219,	0.045000,	0.290000,	0.000000,	1.820000,	0.050000,	0.340000,	0.070000,	0.000000
220,	0.045000,	0.280000,	0.000000,	1.775000,	0.055000,	0.335000,	0.080000,	0.000000
