Time,	NewLatentPB,	NewInfectiousPB,	NewInfectiousIdentifiedPB,	NewInfectiousUnderTreatmeanPB,	NewInfectiousNotCuredPB,	NewRecoveredLatentPB,	NewRelapsePB
160,	6.410000,	6.200000,	4.390000,	14.910000,	0.070000,	3.490000,	0.000000
161,	5.390000,	5.300000,	4.170000,	14.550000,	0.110000,	3.240000,	0.000000
162,	5.240000,	5.030000,	3.920000,	14.290000,	0.080000,	3.210000,	0.000000
163,	5.140000,	5.360000,	3.980000,	13.150000,	0.060000,	2.950000,	0.000000
164,	4.610000,	4.760000,	3.880000,	13.000000,	0.070000,	3.100000,	0.000000
165,	5.010000,	4.950000,	3.660000,	13.200000,	0.120000,	3.120000,	0.000000
166,	4.320000,	4.530000,	3.340000,	12.020000,	0.100000,	2.410000,	0.000000
167,	4.470000,	4.230000,	3.190000,	11.770000,	0.060000,	2.520000,	0.000000
168,	4.370000,	4.270000,	3.090000,	11.670000,	0.040000,	2.400000,	0.000000
169,	4.150000,	4.150000,	3.020000,	11.670000,	0.090000,	2.340000,	0.000000
170,	3.760000,	3.860000,	2.960000,	11.420000,	0.050000,	2.230000,	0.000000
171,	3.700000,	3.650000,	2.700000,	11.150000,	0.050000,	1.890000,	0.000000
172,	3.480000,	3.290000,	2.620000,	11.280000,	0.030000,	1.900000,	0.000000
173,	3.320000,	3.410000,	2.640000,	9.680000,	0.050000,	1.920000,	0.000000
174,	3.260000,	3.390000,	2.700000,	10.250000,	0.030000,	1.550000,	0.000000
175,	3.350000,	3.340000,	2.450000,	10.020000,	0.030000,	1.500000,	0.000000
176,	3.050000,	3.040000,	2.100000,	9.650000,	0.040000,	1.350000,	0.000000
177,	2.900000,	2.960000,	2.080000,	9.160000,	0.040000,	1.540000,	0.000000
178,	2.660000,	2.530000,	1.870000,	9.150000,	0.050000,	1.160000,	0.000000
179,	2.520000,	2.570000,	1.890000,	8.780000,	0.030000,	1.060000,	0.000000
180,	2.700000,	2.640000,	2.060000,	9.020000,	0.050000,	1.210000,	0.000000
181,	2.480000,	2.420000,	1.720000,	8.680000,	0.030000,	1.150000,	0.000000
182,	2.350000,	2.410000,	1.800000,	8.460000,	0.030000,	1.170000,	0.000000
183,	2.010000,	1.930000,	1.480000,	7.970000,	0.030000,	1.210000,	0.000000
184,	2.260000,	2.180000,	1.720000,	8.500000,	0.010000,	1.230000,	0.000000
185,	1.930000,	1.980000,	1.560000,	8.380000,	0.030000,	0.890000,	0.000000
186,	1.920000,	2.000000,	1.510000,	7.560000,	0.030000,	0.960000,	0.000000
187,	1.660000,	1.790000,	1.240000,	7.720000,	0.010000,	0.890000,	0.000000
188,	1.570000,	1.470000,	1.190000,	7.630000,	0.010000,	0.950000,	0.000000
189,	1.550000,	1.550000,	1.050000,	7.510000,	0.050000,	0.900000,	0.000000
190,	1.450000,	1.450000,	1.110000,	7.450000,	0.030000,	0.820000,	0.000000
191,	1.430000,	1.510000,	1.100000,	7.470000,	0.000000,	0.630000,	0.000000
192,	1.550000,	1.480000,	1.080000,	6.540000,	0.040000,	0.690000,	0.000000
193,	1.510000,	1.460000,	0.970000,	6.590000,	0.020000,	0.740000,	0.000000
194,	1.480000,	1.540000,	1.130000,	6.760000,	0.020000,	0.580000,	0.000000
195,	1.410000,	1.370000,	1.000000,	6.540000,	0.000000,	0.640000,	0.000000
196,	1.310000,	1.260000,	0.840000,	6.390000,	0.010000,	0.620000,	0.000000
197,	1.190000,	1.190000,	0.770000,	6.390000,	0.010000,	0.620000,	0.000000
198,	1.160000,	1.130000,	0.870000,	6.280000,	0.010000,	0.540000,	0.000000
199,	1.130000,	1.160000,	1.040000,	6.430000,	0.010000,	0.630000,	0.000000
200,	1.170000,	1.130000,	0.830000,	6.250000,	0.000000,	0.540000,	0.000000
