Time,	NewLatent,	NewInfectious,	NewInfectiousIdentified,	NewInfectiousUnderTreatmean,	NewInfectiousNotCured,	NewRecoveredLatent,	NewRelapse
161,	2.280000,	2.230000,	7.840000,	13.440001,	0.250000,	6.090000,	0.000000
162,	1.880000,	1.880000,	7.275000,	12.540000,	0.235000,	5.590000,	0.000000
163,	1.855000,	1.895000,	6.725000,	11.335000,	0.160000,	4.685000,	0.000000
164,	1.540000,	1.675000,	5.770000,	9.900000,	0.205000,	4.530000,	0.000000
165,	1.565000,	1.555000,	5.465000,	8.910000,	0.170000,	4.150000,	0.000000
166,	1.555000,	1.460000,	5.180000,	8.600000,	0.155000,	4.200000,	0.000000
167,	1.175000,	1.210000,	4.885000,	8.405001,	0.215000,	4.180000,	0.000000
168,	1.165000,	1.185000,	4.790000,	7.955000,	0.175000,	4.105000,	0.000000
169,	1.365000,	1.330000,	4.825000,	7.995000,	0.115000,	3.855000,	0.000000
170,	1.210000,	1.260000,	4.695000,	7.975000,	0.110000,	3.610000,	0.000000
171,	1.165000,	1.170000,	4.435000,	7.420000,	0.105000,	3.670000,	0.000000
172,	1.045000,	1.045000,	4.170000,	7.055000,	0.130000,	3.430000,	0.000000
173,	1.095000,	1.085000,	4.030000,	6.790000,	0.150000,	2.865000,	0.000000
174,	0.920000,	0.835000,	3.200000,	5.615000,	0.105000,	2.715000,	0.000000
175,	0.925000,	0.955000,	3.105000,	5.110000,	0.065000,	2.410000,	0.000000
176,	0.850000,	0.900000,	2.855000,	4.735000,	0.080000,	2.005000,	0.000000
177,	0.675000,	0.675000,	2.435000,	4.175000,	0.045000,	1.790000,	0.000000
178,	0.705000,	0.695000,	2.365000,	3.845000,	0.075000,	1.820000,	0.000000
179,	0.710000,	0.715000,	2.155000,	3.565000,	0.085000,	1.760000,	0.000000
180,	0.715000,	0.645000,	2.100000,	3.345000,	0.055000,	1.440000,	0.000000
181,	0.645000,	0.625000,	2.005000,	3.290000,	0.070000,	1.560000,	0.000000
182,	0.610000,	0.655000,	1.960000,	3.140000,	0.060000,	1.480000,	0.000000
183,	0.655000,	0.620000,	1.935000,	3.055000,	0.070000,	1.485000,	0.000000
184,	0.685000,	0.620000,	1.965000,	3.075000,	0.035000,	1.530000,	0.000000
185,	0.630000,	0.665000,	1.940000,	3.180000,	0.095000,	1.390000,	0.000000
186,	0.585000,	0.610000,	1.640000,	2.665000,	0.040000,	1.180000,	0.000000
187,	0.475000,	0.490000,	1.585000,	2.615000,	0.035000,	1.115000,	0.000000
188,	0.535000,	0.485000,	1.450000,	2.330000,	0.055000,	1.000000,	0.000000
189,	0.545000,	0.510000,	1.315000,	2.110000,	0.035000,	0.940000,	0.000000
190,	0.575000,	0.605000,	1.350000,	2.020000,	0.035000,	0.855000,	0.000000
191,	0.400000,	0.420000,	1.160000,	1.855000,	0.055000,	0.840000,	0.000000
192,	0.530000,	0.480000,	1.205000,	1.885000,	0.040000,	0.780000,	0.000000
193,	0.400000,	0.400000,	1.140000,	1.835000,	0.020000,	0.755000,	0.000000
194,	0.505000,	0.500000,	0.965000,	1.380000,	0.040000,	0.650000,	0.000000
195,	0.375000,	0.370000,	1.055000,	1.585000,	0.025000,	0.745000,	0.000000
196,	0.500000,	0.465000,	1.150000,	1.720000,	0.055000,	0.705000,	0.000000
197,	0.475000,	0.460000,	1.050000,	1.605000,	0.020000,	0.795000,	0.000000
198,	0.420000,	0.425000,	1.035000,	1.615000,	0.010000,	0.635000,	0.000000
199,	0.340000,	0.350000,	0.965000,	1.560000,	0.020000,	0.655000,	0.000000
200,	0.360000,	0.340000,	0.880000,	1.345000,	0.015000,	0.555000,	0.000000
