Time,	NewLatent,	NewInfectious,	NewInfectiousIdentified,	NewInfectiousUnderTreatmean,	NewInfectiousNotCured,	NewRecoveredLatent,	NewRelapse
181,	0.230000,	0.250000,	1.060000,	1.910000,	0.025000,	1.005000,	0.000000
182,	0.300000,	0.275000,	1.085000,	1.950000,	0.055000,	0.830000,	0.000000
183,	0.295000,	0.270000,	1.100000,	2.000000,	0.025000,	0.905000,	0.000000
184,	0.255000,	0.250000,	0.945000,	1.680000,	0.030000,	0.690000,	0.000000
185,	0.245000,	0.270000,	0.790000,	1.365000,	0.020000,	0.670000,	0.000000
186,	0.240000,	0.230000,	0.685000,	1.185000,	0.020000,	0.560000,	0.000000
187,	0.250000,	0.240000,	0.740000,	1.290000,	0.015000,	0.575000,	0.000000
188,	0.240000,	0.240000,	0.790000,	1.375000,	0.025000,	0.545000,	0.000000
189,	0.175000,	0.145000,	0.540000,	0.980000,	0.015000,	0.495000,	0.000000
190,	0.180000,	0.205000,	0.645000,	1.100000,	0.020000,	0.460000,	0.000000
191,	0.235000,	0.215000,	0.685000,	1.175000,	0.030000,	0.465000,	0.000000
192,	0.230000,	0.260000,	0.630000,	1.005000,	0.005000,	0.430000,	0.000000
193,	0.290000,	0.265000,	0.615000,	1.005000,	0.035000,	0.445000,	0.000000
194,	0.275000,	0.235000,	0.590000,	0.970000,	0.020000,	0.445000,	0.000000
195,	0.230000,	0.220000,	0.605000,	1.000000,	0.015000,	0.375000,	0.000000
196,	0.255000,	0.225000,	0.570000,	0.960000,	0.010000,	0.365000,	0.000000
197,	0.200000,	0.200000,	0.490000,	0.810000,	0.005000,	0.260000,	0.000000
198,	0.265000,	0.245000,	0.450000,	0.700000,	0.000000,	0.255000,	0.000000
199,	0.180000,	0.170000,	0.390000,	0.625000,	0.010000,	0.335000,	0.000000
200,	0.285000,	0.315000,	0.595000,	0.905000,	0.015000,	0.320000,	0.000000
201,	0.265000,	0.255000,	0.480000,	0.715000,	0.020000,	0.245000,	0.000000
202,	0.175000,	0.185000,	0.420000,	0.665000,	0.015000,	0.260000,	0.000000
203,	0.215000,	0.165000,	0.395000,	0.630000,	0.000000,	0.290000,	0.000000
204,	0.215000,	0.230000,	0.460000,	0.710000,	0.015000,	0.260000,	0.000000
205,	0.275000,	0.250000,	0.510000,	0.800000,	0.020000,	0.200000,	0.000000
206,	0.210000,	0.225000,	0.400000,	0.610000,	0.010000,	0.245000,	0.000000
207,	0.235000,	0.220000,	0.375000,	0.580000,	0.020000,	0.250000,	0.000000
208,	0.180000,	0.185000,	0.340000,	0.535000,	0.005000,	0.200000,	0.000000
209,	0.185000,	0.170000,	0.340000,	0.540000,	0.010000,	0.205000,	0.000000
210,	0.230000,	0.240000,	0.365000,	0.515000,	0.010000,	0.235000,	0.000000
211,	0.235000,	0.180000,	0.380000,	0.610000,	0.005000,	0.195000,	0.000000
212,	0.210000,	0.195000,	0.320000,	0.460000,	0.000000,	0.255000,	0.000000
213,	0.235000,	0.210000,	0.440000,	0.710000,	0.005000,	0.285000,	0.000000
214,	0.240000,	0.300000,	0.485000,	0.700000,	0.005000,	0.215000,	0.000000
215,	0.180000,	0.180000,	0.365000,	0.590000,	0.005000,	0.175000,	0.000000
216,	0.200000,	0.180000,	0.365000,	0.555000,	0.020000,	0.205000,	0.000000
217,	0.215000,	0.200000,	0.360000,	0.560000,	0.005000,	0.210000,	0.000000
218,	0.255000,	0.170000,	0.305000,	0.435000,	0.000000,	0.160000,	0.000000
219,	0.215000,	0.260000,	0.390000,	0.545000,	0.020000,	0.135000,	0.000000
220,	0.195000,	0.250000,	0.370000,	0.505000,	0.000000,	0.150000,	0.000000
221,	0.190000,	0.175000,	0.300000,	0.465000,	0.010000,	0.175000,	0.000000
222,	0.190000,	0.145000,	0.335000,	0.520000,	0.005000,	0.180000,	0.000000
223,	0.180000,	0.185000,	0.300000,	0.425000,	0.010000,	0.155000,	0.000000
224,	0.160000,	0.145000,	0.255000,	0.395000,	0.000000,	0.100000,	0.000000
225,	0.230000,	0.225000,	0.365000,	0.515000,	0.020000,	0.235000,	0.000000
226,	0.155000,	0.155000,	0.275000,	0.410000,	0.005000,	0.255000,	0.000000
227,	0.205000,	0.220000,	0.415000,	0.650000,	0.000000,	0.195000,	0.000000
228,	0.210000,	0.165000,	0.320000,	0.480000,	0.000000,	0.165000,	0.000000
229,	0.190000,	0.180000,	0.320000,	0.480000,	0.005000,	0.185000,	0.000000
230,	0.300000,	0.275000,	0.435000,	0.615000,	0.005000,	0.145000,	0.000000
231,	0.200000,	0.175000,	0.345000,	0.530000,	0.000000,	0.240000,	0.000000
232,	0.170000,	0.200000,	0.410000,	0.630000,	0.010000,	0.200000,	0.000000
233,	0.190000,	0.260000,	0.360000,	0.490000,	0.000000,	0.150000,	0.000000
234,	0.215000,	0.165000,	0.310000,	0.490000,	0.005000,	0.175000,	0.000000
235,	0.150000,	0.135000,	0.250000,	0.365000,	0.000000,	0.145000,	0.000000
236,	0.180000,	0.185000,	0.325000,	0.500000,	0.005000,	0.120000,	0.000000
237,	0.205000,	0.160000,	0.280000,	0.415000,	0.015000,	0.210000,	0.000000
238,	0.200000,	0.205000,	0.315000,	0.450000,	0.000000,	0.145000,	0.000000
239,	0.170000,	0.180000,	0.300000,	0.445000,	0.015000,	0.190000,	0.000000
240,	0.120000,	0.150000,	0.290000,	0.430000,	0.005000,	0.120000,	0.000000
241,	0.220000,	0.190000,	0.330000,	0.485000,	0.000000,	0.180000,	0.000000
242,	0.255000,	0.225000,	0.350000,	0.500000,	0.005000,	0.220000,	0.000000
243,	0.165000,	0.165000,	0.305000,	0.465000,	0.010000,	0.190000,	0.000000
244,	0.250000,	0.255000,	0.410000,	0.585000,	0.000000,	0.180000,	0.000000
245,	0.170000,	0.190000,	0.335000,	0.490000,	0.010000,	0.180000,	0.000000
246,	0.220000,	0.220000,	0.365000,	0.530000,	0.000000,	0.115000,	0.000000
247,	0.180000,	0.180000,	0.285000,	0.415000,	0.000000,	0.135000,	0.000000
248,	0.200000,	0.195000,	0.315000,	0.435000,	0.000000,	0.130000,	0.000000
249,	0.155000,	0.155000,	0.290000,	0.440000,	0.010000,	0.145000,	0.000000
250,	0.200000,	0.190000,	0.320000,	0.460000,	0.000000,	0.140000,	0.000000
251,	0.210000,	0.195000,	0.300000,	0.420000,	0.005000,	0.155000,	0.000000
252,	0.135000,	0.145000,	0.235000,	0.350000,	0.000000,	0.150000,	0.000000
253,	0.205000,	0.210000,	0.325000,	0.455000,	0.000000,	0.200000,	0.000000
254,	0.230000,	0.190000,	0.320000,	0.495000,	0.000000,	0.160000,	0.000000
255,	0.190000,	0.190000,	0.400000,	0.620000,	0.005000,	0.180000,	0.000000
256,	0.140000,	0.135000,	0.270000,	0.435000,	0.010000,	0.185000,	0.000000
257,	0.200000,	0.195000,	0.275000,	0.360000,	0.000000,	0.155000,	0.000000
258,	0.180000,	0.170000,	0.335000,	0.515000,	0.005000,	0.180000,	0.000000
259,	0.145000,	0.135000,	0.310000,	0.485000,	0.005000,	0.145000,	0.000000
260,	0.150000,	0.160000,	0.300000,	0.460000,	0.005000,	0.165000,	0.000000
261,	0.145000,	0.145000,	0.260000,	0.395000,	0.020000,	0.125000,	0.000000
262,	0.215000,	0.160000,	0.300000,	0.470000,	0.015000,	0.145000,	0.000000
263,	0.215000,	0.210000,	0.285000,	0.375000,	0.005000,	0.145000,	0.000000
264,	0.135000,	0.155000,	0.285000,	0.440000,	0.000000,	0.100000,	0.000000
265,	0.190000,	0.205000,	0.320000,	0.455000,	0.000000,	0.175000,	0.000000
266,	0.205000,	0.195000,	0.295000,	0.415000,	0.005000,	0.120000,	0.000000
267,	0.220000,	0.200000,	0.315000,	0.445000,	0.015000,	0.185000,	0.000000
268,	0.235000,	0.220000,	0.330000,	0.465000,	0.000000,	0.140000,	0.000000
269,	0.250000,	0.205000,	0.300000,	0.415000,	0.010000,	0.175000,	0.000000
270,	0.165000,	0.200000,	0.350000,	0.530000,	0.015000,	0.185000,	0.000000
271,	0.220000,	0.195000,	0.320000,	0.450000,	0.010000,	0.190000,	0.000000
272,	0.165000,	0.195000,	0.395000,	0.605000,	0.000000,	0.135000,	0.000000
273,	0.225000,	0.225000,	0.320000,	0.420000,	0.005000,	0.110000,	0.000000
274,	0.215000,	0.210000,	0.315000,	0.450000,	0.010000,	0.105000,	0.000000
275,	0.165000,	0.155000,	0.240000,	0.375000,	0.000000,	0.150000,	0.000000
276,	0.155000,	0.150000,	0.235000,	0.340000,	0.000000,	0.145000,	0.000000
277,	0.180000,	0.170000,	0.235000,	0.350000,	0.005000,	0.150000,	0.000000
278,	0.210000,	0.190000,	0.335000,	0.510000,	0.015000,	0.165000,	0.000000
279,	0.135000,	0.150000,	0.310000,	0.475000,	0.005000,	0.180000,	0.000000
280,	0.205000,	0.190000,	0.340000,	0.500000,	0.000000,	0.140000,	0.000000
281,	0.185000,	0.145000,	0.285000,	0.435000,	0.000000,	0.135000,	0.000000
282,	0.185000,	0.185000,	0.290000,	0.405000,	0.000000,	0.170000,	0.000000
283,	0.210000,	0.220000,	0.380000,	0.555000,	0.000000,	0.190000,	0.000000
284,	0.190000,	0.155000,	0.275000,	0.405000,	0.010000,	0.190000,	0.000000
285,	0.220000,	0.195000,	0.305000,	0.440000,	0.010000,	0.140000,	0.000000
286,	0.160000,	0.170000,	0.305000,	0.455000,	0.005000,	0.150000,	0.000000
