Time,	NewLatentMB,	NewInfectiousMB,	NewInfectiousIdentifiedMB,	NewInfectiousUnderTreatmeanMB,	NewInfectiousNotCuredMB,	NewRecoveredLatentMB,	NewRelapseMB
263,	0.100000,	0.105000,	0.195000,	0.210000,	0.000000,	0.105000,	0.000000
264,	0.115000,	0.090000,	0.175000,	0.185000,	0.010000,	0.070000,	0.000000
265,	0.080000,	0.090000,	0.165000,	0.150000,	0.000000,	0.080000,	0.000000
266,	0.070000,	0.060000,	0.145000,	0.155000,	0.005000,	0.100000,	0.000000
267,	0.085000,	0.090000,	0.155000,	0.155000,	0.000000,	0.095000,	0.000000
268,	0.065000,	0.080000,	0.165000,	0.145000,	0.005000,	0.100000,	0.000000
269,	0.080000,	0.070000,	0.140000,	0.150000,	0.000000,	0.070000,	0.000000
270,	0.095000,	0.095000,	0.190000,	0.160000,	0.005000,	0.125000,	0.000000
271,	0.090000,	0.070000,	0.205000,	0.220000,	0.025000,	0.120000,	0.000000
272,	0.070000,	0.105000,	0.190000,	0.180000,	0.005000,	0.095000,	0.000000
273,	0.105000,	0.075000,	0.115000,	0.115000,	0.005000,	0.060000,	0.000000
274,	0.085000,	0.060000,	0.140000,	0.140000,	0.005000,	0.090000,	0.000000
275,	0.055000,	0.055000,	0.135000,	0.110000,	0.010000,	0.120000,	0.000000
276,	0.105000,	0.135000,	0.220000,	0.230000,	0.005000,	0.100000,	0.000000
277,	0.120000,	0.115000,	0.195000,	0.205000,	0.005000,	0.060000,	0.000000
278,	0.110000,	0.095000,	0.165000,	0.165000,	0.000000,	0.080000,	0.000000
279,	0.080000,	0.080000,	0.150000,	0.130000,	0.010000,	0.075000,	0.000000
280,	0.070000,	0.065000,	0.125000,	0.160000,	0.000000,	0.080000,	0.000000
281,	0.060000,	0.055000,	0.105000,	0.110000,	0.005000,	0.075000,	0.000000
282,	0.095000,	0.095000,	0.160000,	0.145000,	0.000000,	0.055000,	0.000000
283,	0.070000,	0.050000,	0.115000,	0.100000,	0.000000,	0.115000,	0.000000
284,	0.105000,	0.110000,	0.195000,	0.190000,	0.005000,	0.090000,	0.000000
285,	0.080000,	0.090000,	0.185000,	0.195000,	0.000000,	0.095000,	0.000000
286,	0.100000,	0.090000,	0.170000,	0.155000,	0.000000,	0.090000,	0.000000
287,	0.085000,	0.070000,	0.135000,	0.145000,	0.000000,	0.070000,	0.000000
288,	0.060000,	0.070000,	0.150000,	0.140000,	0.020000,	0.105000,	0.000000
289,	0.095000,	0.090000,	0.190000,	0.175000,	0.005000,	0.105000,	0.000000
290,	0.115000,	0.125000,	0.210000,	0.220000,	0.005000,	0.080000,	0.000000
291,	0.090000,	0.080000,	0.140000,	0.130000,	0.000000,	0.075000,	0.000000
292,	0.140000,	0.110000,	0.165000,	0.165000,	0.000000,	0.050000,	0.000000
293,	0.090000,	0.080000,	0.125000,	0.140000,	0.000000,	0.075000,	0.000000
294,	0.065000,	0.065000,	0.140000,	0.110000,	0.005000,	0.085000,	0.000000
295,	0.105000,	0.120000,	0.175000,	0.195000,	0.000000,	0.065000,	0.000000
296,	0.080000,	0.070000,	0.150000,	0.150000,	0.000000,	0.090000,	0.000000
297,	0.120000,	0.105000,	0.185000,	0.180000,	0.010000,	0.115000,	0.000000
298,	0.130000,	0.120000,	0.190000,	0.160000,	0.005000,	0.080000,	0.000000
299,	0.100000,	0.115000,	0.165000,	0.185000,	0.015000,	0.080000,	0.000000
300,	0.115000,	0.120000,	0.170000,	0.160000,	0.005000,	0.085000,	0.000000
