Time,	LatentMB,	InfectiousMB,	InfectiousIdentifiedMB,	InfectiousUnderTreatmeanMB,	InfectiousNotCuredMB,	TotalInfectiousMB,	RecoveredLatentMB,	RelapseMB
139,	1.070000,	13.840000,	2.270000,	53.360001,	1.380000,	17.490000,	2.320000,	0.000000
140,	0.760000,	12.500000,	1.970000,	51.560001,	1.220000,	15.690001,	2.340000,	0.000000
141,	0.840000,	11.630000,	1.770000,	48.590000,	1.130000,	14.530000,	2.450000,	0.000000
142,	0.770000,	11.110000,	1.710000,	45.650002,	1.050000,	13.870000,	2.630000,	0.000000
143,	0.690000,	10.260000,	1.930000,	42.669998,	0.950000,	13.140000,	2.710000,	0.000000
144,	0.590000,	9.800000,	1.880000,	39.669998,	0.940000,	12.620000,	2.380000,	0.000000
145,	0.710000,	9.390000,	1.880000,	36.669998,	0.880000,	12.150001,	2.280000,	0.000000
146,	0.660000,	8.830000,	1.630000,	34.570000,	0.880000,	11.340000,	2.310000,	0.000000
147,	0.610000,	8.410000,	1.500000,	32.430000,	0.890000,	10.800000,	2.150000,	0.000000
148,	0.520000,	7.820000,	1.300000,	30.959999,	0.870000,	9.990000,	2.160000,	0.000000
149,	0.510000,	7.350000,	1.280000,	29.000000,	0.850000,	9.480000,	1.840000,	0.000000
150,	0.490000,	6.780000,	1.300000,	27.480000,	0.810000,	8.890000,	1.620000,	0.000000
151,	0.500000,	6.130000,	1.150000,	26.090000,	0.700000,	7.980000,	1.430000,	0.000000
152,	0.400000,	5.910000,	1.100000,	24.540001,	0.620000,	7.630000,	1.350000,	0.000000
153,	0.480000,	5.490000,	1.070000,	23.379999,	0.540000,	7.100000,	1.310000,	0.000000
154,	0.490000,	5.060000,	0.890000,	22.000000,	0.500000,	6.450000,	1.350000,	0.000000
155,	0.350000,	4.770000,	0.930000,	20.639999,	0.460000,	6.160000,	1.140000,	0.000000
156,	0.310000,	4.420000,	0.830000,	19.379999,	0.440000,	5.690000,	1.270000,	0.000000
157,	0.290000,	4.280000,	0.690000,	18.270000,	0.400000,	5.370000,	1.180000,	0.000000
158,	0.270000,	4.200000,	0.710000,	17.049999,	0.360000,	5.270000,	1.140000,	0.000000
159,	0.300000,	3.890000,	0.850000,	16.010000,	0.360000,	5.100000,	1.050000,	0.000000
160,	0.320000,	3.610000,	0.860000,	14.850000,	0.350000,	4.820000,	0.970000,	0.000000
161,	0.280000,	3.310000,	0.650000,	14.390000,	0.330000,	4.290000,	0.800000,	0.000000
162,	0.220000,	3.100000,	0.650000,	13.360000,	0.310000,	4.060000,	0.790000,	0.000000
163,	0.230000,	2.970000,	0.720000,	12.510000,	0.280000,	3.970000,	0.680000,	0.000000
164,	0.210000,	2.930000,	0.570000,	11.990000,	0.250000,	3.750000,	0.650000,	0.000000
165,	0.270000,	2.690000,	0.470000,	11.350000,	0.270000,	3.430000,	0.600000,	0.000000
166,	0.210000,	2.610000,	0.520000,	10.730000,	0.260000,	3.390000,	0.670000,	0.000000
167,	0.140000,	2.440000,	0.500000,	10.090000,	0.210000,	3.150000,	0.560000,	0.000000
168,	0.150000,	2.190000,	0.380000,	9.400000,	0.180000,	2.750000,	0.560000,	0.000000
