Time,	LatentPB,	InfectiousPB,	InfectiousIdentifiedPB,	InfectiousUnderTreatmeanPB,	InfectiousNotCuredPB,	TotalInfectiousPB,	RecoveredLatentPB,	RelapsePB
192,	0.220000,	2.670000,	0.185000,	9.320000,	0.080000,	2.935000,	1.815000,	0.000000
193,	0.160000,	2.630000,	0.275000,	8.800000,	0.095000,	3.000000,	1.750000,	0.000000
194,	0.170000,	2.650000,	0.220000,	8.515000,	0.085000,	2.955000,	1.510000,	0.000000
195,	0.240000,	2.565000,	0.170000,	8.150000,	0.065000,	2.800000,	1.470000,	0.000000
196,	0.190000,	2.580000,	0.190000,	7.925000,	0.060000,	2.830000,	1.385000,	0.000000
197,	0.195000,	2.505000,	0.175000,	7.590000,	0.070000,	2.750000,	1.330000,	0.000000
198,	0.155000,	2.405000,	0.160000,	7.180000,	0.075000,	2.640000,	1.325000,	0.000000
199,	0.140000,	2.310000,	0.150000,	7.030000,	0.075000,	2.535000,	1.215000,	0.000000
200,	0.125000,	2.225000,	0.160000,	6.820000,	0.070000,	2.455000,	1.110000,	0.000000
201,	0.145000,	2.130000,	0.155000,	6.495000,	0.060000,	2.345000,	1.120000,	0.000000
202,	0.155000,	2.060000,	0.125000,	6.230000,	0.070000,	2.255000,	1.075000,	0.000000
203,	0.145000,	2.050000,	0.155000,	6.020000,	0.070000,	2.275000,	0.990000,	0.000000
204,	0.175000,	2.030000,	0.125000,	5.885000,	0.065000,	2.220000,	0.840000,	0.000000
205,	0.140000,	1.985000,	0.070000,	5.720000,	0.070000,	2.125000,	0.900000,	0.000000
206,	0.140000,	1.970000,	0.085000,	5.400000,	0.070000,	2.125000,	0.875000,	0.000000
207,	0.175000,	1.940000,	0.120000,	5.185000,	0.055000,	2.115000,	0.850000,	0.000000
208,	0.150000,	1.875000,	0.110000,	5.060000,	0.060000,	2.045000,	0.800000,	0.000000
209,	0.150000,	1.830000,	0.155000,	4.860000,	0.060000,	2.045000,	0.775000,	0.000000
210,	0.175000,	1.805000,	0.085000,	4.790000,	0.050000,	1.940000,	0.730000,	0.000000
211,	0.185000,	1.730000,	0.105000,	4.625000,	0.050000,	1.885000,	0.730000,	0.000000
212,	0.130000,	1.765000,	0.150000,	4.535000,	0.055000,	1.970000,	0.685000,	0.000000
213,	0.155000,	1.705000,	0.055000,	4.465000,	0.060000,	1.820000,	0.690000,	0.000000
214,	0.135000,	1.755000,	0.115000,	4.340000,	0.060000,	1.930000,	0.640000,	0.000000
215,	0.115000,	1.730000,	0.090000,	4.225000,	0.055000,	1.875000,	0.630000,	0.000000
216,	0.125000,	1.745000,	0.085000,	4.085000,	0.055000,	1.885000,	0.690000,	0.000000
