Time,	LatentPB,	InfectiousPB,	InfectiousIdentifiedPB,	InfectiousUnderTreatmeanPB,	InfectiousNotCuredPB,	TotalInfectiousPB,	RecoveredLatentPB,	RelapsePB
278,	0.470000,	5.735000,	0.000000,	7.080000,	0.070000,	5.805000,	0.890000,	0.000000
279,	0.410000,	5.630000,	0.000000,	6.760000,	0.070000,	5.700000,	0.875000,	0.000000
280,	0.465000,	5.340000,	0.005000,	6.665000,	0.055000,	5.400000,	0.870000,	0.000000
281,	0.475000,	5.195000,	0.005000,	6.465000,	0.040000,	5.240000,	0.870000,	0.000000
282,	0.450000,	5.075000,	0.010000,	6.295000,	0.035000,	5.120000,	0.935000,	0.000000
283,	0.405000,	4.935000,	0.000000,	6.290000,	0.050000,	4.985000,	0.900000,	0.000000
284,	0.345000,	5.000000,	0.000000,	6.275000,	0.055000,	5.055000,	0.885000,	0.000000
285,	0.325000,	4.895000,	0.000000,	6.310000,	0.060000,	4.955000,	0.825000,	0.000000
286,	0.300000,	4.850000,	0.005000,	6.135000,	0.055000,	4.910000,	0.935000,	0.000000
287,	0.415000,	4.825000,	0.000000,	6.050000,	0.035000,	4.860000,	0.820000,	0.000000
288,	0.370000,	4.655000,	0.000000,	5.935000,	0.050000,	4.705000,	0.885000,	0.000000
289,	0.380000,	4.565000,	0.000000,	5.900000,	0.065000,	4.630000,	0.860000,	0.000000
290,	0.395000,	4.500000,	0.005000,	5.630000,	0.060000,	4.565000,	0.905000,	0.000000
291,	0.375000,	4.620000,	0.000000,	5.585000,	0.075000,	4.695000,	0.775000,	0.000000
292,	0.365000,	4.690000,	0.010000,	5.485000,	0.065000,	4.765000,	0.780000,	0.000000
293,	0.365000,	4.720000,	0.000000,	5.425000,	0.070000,	4.790000,	0.860000,	0.000000
294,	0.400000,	4.685000,	0.000000,	5.505000,	0.075000,	4.760000,	0.740000,	0.000000
295,	0.350000,	4.685000,	0.000000,	5.365000,	0.075000,	4.760000,	0.790000,	0.000000
296,	0.310000,	4.610000,	0.005000,	5.470000,	0.070000,	4.685000,	0.750000,	0.000000
297,	0.250000,	4.650000,	0.000000,	5.350000,	0.075000,	4.725000,	0.810000,	0.000000
298,	0.260000,	4.515000,	0.000000,	5.190000,	0.085000,	4.600000,	0.780000,	0.000000
299,	0.330000,	4.450000,	0.000000,	4.945000,	0.065000,	4.515000,	0.855000,	0.000000
300,	0.310000,	4.470000,	0.005000,	5.035000,	0.065000,	4.540000,	0.725000,	0.000000
