Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
75,	117.059998,	929.900024,	0.000000,	0.000000,	0.000000,	929.900024,	0.000000,	0.000000
76,	119.464996,	943.719971,	0.000000,	0.000000,	0.000000,	943.719971,	0.000000,	0.000000
77,	121.190002,	959.479980,	0.000000,	0.000000,	0.000000,	959.480011,	0.000000,	0.000000
78,	123.480003,	974.665039,	0.000000,	0.000000,	0.000000,	974.665039,	0.000000,	0.000000
79,	124.610001,	988.775024,	0.000000,	0.000000,	0.000000,	988.774994,	0.000000,	0.000000
80,	127.919998,	1003.934937,	0.000000,	0.000000,	0.000000,	1003.934967,	0.000000,	0.000000
81,	130.895004,	1017.979980,	0.000000,	0.000000,	0.000000,	1017.980011,	0.000000,	0.000000
82,	132.855011,	1033.670044,	0.000000,	0.000000,	0.000000,	1033.670013,	0.000000,	0.000000
83,	135.925003,	1049.984985,	0.000000,	0.000000,	0.000000,	1049.984985,	0.000000,	0.000000
84,	138.750000,	1065.790039,	0.000000,	0.000000,	0.000000,	1065.789978,	0.000000,	0.000000
85,	141.864990,	1081.505005,	0.000000,	0.000000,	0.000000,	1081.505035,	0.000000,	0.000000
86,	143.979996,	1099.195068,	0.000000,	0.000000,	0.000000,	1099.195038,	0.000000,	0.000000
87,	146.225006,	1116.530029,	0.000000,	0.000000,	0.000000,	1116.529999,	0.000000,	0.000000
88,	148.970001,	1131.804932,	0.000000,	0.000000,	0.000000,	1131.804993,	0.000000,	0.000000
89,	152.324997,	1148.939941,	0.000000,	0.000000,	0.000000,	1148.939972,	0.000000,	0.000000
90,	154.915009,	1164.479980,	0.000000,	0.000000,	0.000000,	1164.480042,	0.000000,	0.000000
91,	159.209991,	1182.599976,	0.000000,	0.000000,	0.000000,	1182.599976,	0.000000,	0.000000
92,	162.565002,	1202.204956,	0.000000,	0.000000,	0.000000,	1202.204987,	0.000000,	0.000000
93,	166.240005,	1220.505005,	0.000000,	0.000000,	0.000000,	1220.505005,	0.000000,	0.000000
94,	168.204987,	1238.925049,	0.000000,	0.000000,	0.000000,	1238.924988,	0.000000,	0.000000
95,	171.320007,	1257.734985,	0.000000,	0.000000,	0.000000,	1257.735016,	0.000000,	0.000000
96,	173.545013,	1280.550049,	0.000000,	0.000000,	0.000000,	1280.549988,	0.000000,	0.000000
97,	176.375000,	1299.614990,	0.000000,	0.000000,	0.000000,	1299.615021,	0.000000,	0.000000
98,	180.705002,	1318.885010,	0.000000,	0.000000,	0.000000,	1318.885010,	0.000000,	0.000000
99,	184.735001,	1339.050049,	0.000000,	0.000000,	0.000000,	1339.049988,	0.000000,	0.000000
100,	188.510010,	1362.814941,	0.000000,	0.000000,	0.000000,	1362.815002,	0.000000,	0.000000
101,	188.654999,	1274.900024,	0.330000,	115.744995,	0.000000,	1275.230011,	0.000000,	0.000000
102,	179.514999,	1193.814941,	0.300000,	221.514999,	0.000000,	1194.114990,	0.000000,	0.000000
103,	164.375000,	1118.584961,	0.300000,	319.270020,	0.000000,	1118.884949,	0.000000,	0.000000
104,	145.550003,	1052.180054,	0.245000,	406.000000,	0.000000,	1052.425049,	0.000000,	0.000000
105,	134.854996,	984.150024,	0.230000,	479.739990,	0.000000,	984.380035,	0.000000,	0.000000
106,	124.934998,	920.380005,	0.270000,	543.630005,	0.000000,	920.649994,	0.000000,	0.000000
107,	115.714996,	857.530029,	0.215000,	597.974976,	0.000000,	857.744995,	0.000000,	0.000000
108,	105.595001,	802.140015,	0.215000,	645.929993,	0.000000,	802.355011,	0.000000,	0.000000
109,	97.494995,	746.159973,	0.160000,	686.909973,	0.000000,	746.319946,	0.000000,	0.000000
110,	90.385002,	695.665039,	0.145000,	720.834961,	0.000000,	695.810028,	0.000000,	0.000000
111,	84.250000,	648.184998,	0.160000,	747.135010,	0.000000,	648.345001,	0.000000,	0.000000
112,	77.680000,	603.000000,	0.195000,	770.045044,	0.000000,	603.195007,	0.000000,	0.000000
113,	72.244995,	570.809998,	0.155000,	730.765015,	2.025000,	572.989990,	44.440002,	0.000000
114,	67.520004,	549.214966,	0.155000,	702.589966,	3.550000,	552.919983,	66.419998,	0.000000
115,	64.644997,	531.474976,	0.145000,	679.709961,	4.880000,	536.499985,	77.349998,	0.000000
116,	62.954998,	515.280029,	0.195000,	662.500000,	5.760000,	521.235001,	82.084999,	0.000000
117,	62.130001,	499.975006,	0.170000,	649.770020,	6.280000,	506.425034,	81.059998,	0.000000
118,	60.864998,	486.839996,	0.125000,	641.390015,	6.780000,	493.744995,	76.815002,	0.000000
119,	58.995003,	472.105011,	0.145000,	633.599976,	6.955000,	479.205017,	72.770004,	0.000000
120,	56.330002,	458.165009,	0.195000,	626.130005,	7.215000,	465.575027,	68.864998,	0.000000
121,	55.134998,	443.075012,	0.105000,	619.640015,	7.035000,	450.214981,	65.625000,	0.000000
122,	53.840000,	429.474976,	0.180000,	614.099976,	7.065000,	436.720001,	61.014999,	0.000000
123,	52.184998,	415.414978,	0.100000,	609.974976,	6.775000,	422.290009,	55.865002,	0.000000
124,	51.879997,	402.005005,	0.155000,	605.410034,	6.710000,	408.870010,	52.465004,	0.000000
125,	50.669998,	389.349976,	0.090000,	596.280029,	6.805000,	396.244995,	51.915001,	0.000000
126,	48.700001,	378.914978,	0.135000,	584.015015,	6.810000,	385.860001,	53.530003,	0.000000
127,	46.864998,	370.549988,	0.175000,	571.060059,	6.830000,	377.555008,	54.500000,	0.000000
128,	45.230000,	361.890015,	0.155000,	557.510010,	7.085000,	369.130005,	55.255001,	0.000000
129,	44.299999,	353.114990,	0.145000,	545.440002,	6.965000,	360.225006,	54.654999,	0.000000
130,	42.945000,	346.000000,	0.145000,	534.349976,	6.840000,	352.985001,	54.044998,	0.000000
131,	42.954998,	337.855011,	0.120000,	523.500000,	6.780000,	344.755005,	53.245003,	0.000000
132,	42.700001,	330.335022,	0.120000,	513.525024,	6.840000,	337.295013,	51.489998,	0.000000
