Time,	LatentMB,	InfectiousMB,	InfectiousIdentifiedMB,	InfectiousUnderTreatmeanMB,	InfectiousNotCuredMB,	TotalInfectiousMB,	RecoveredLatentMB,	RelapseMB
253,	20.660000,	128.820007,	0.080000,	208.500000,	2.830000,	131.730011,	9.110000,	0.000000
254,	21.160000,	128.585007,	0.040000,	207.845001,	2.845000,	131.470001,	9.150000,	0.000000
255,	21.290001,	129.205002,	0.085000,	207.565002,	2.870000,	132.160004,	8.705000,	0.000000
256,	21.495001,	129.279999,	0.075000,	207.755005,	2.880000,	132.235001,	8.520000,	0.000000
257,	20.844999,	128.259995,	0.080000,	208.309998,	2.865000,	131.205002,	8.590000,	0.000000
258,	20.459999,	128.320007,	0.075000,	208.255005,	2.885000,	131.279999,	8.750000,	0.000000
259,	20.280001,	128.054993,	0.055000,	207.949997,	2.715000,	130.824982,	8.475000,	0.000000
260,	20.254999,	127.964996,	0.065000,	206.865005,	2.615000,	130.645004,	8.750000,	0.000000
261,	19.775000,	127.720001,	0.070000,	206.059998,	2.610000,	130.399994,	8.500000,	0.000000
262,	19.785000,	127.294998,	0.065000,	204.904999,	2.570000,	129.930008,	8.505000,	0.000000
263,	19.870001,	126.745003,	0.075000,	204.774994,	2.665000,	129.485001,	8.360000,	0.000000
264,	20.260000,	125.820000,	0.080000,	204.404999,	2.670000,	128.570007,	8.280000,	0.000000
265,	20.500000,	125.894997,	0.080000,	203.649994,	2.765000,	128.740005,	8.460000,	0.000000
266,	20.629999,	125.815002,	0.050000,	203.119995,	2.770000,	128.635010,	8.370000,	0.000000
267,	20.165001,	125.580002,	0.080000,	203.240005,	2.740000,	128.400009,	8.360000,	0.000000
268,	20.565001,	125.845001,	0.055000,	202.565002,	2.735000,	128.634995,	8.250000,	0.000000
269,	20.520000,	125.904999,	0.050000,	202.164993,	2.815000,	128.770004,	8.265000,	0.000000
270,	20.490000,	125.644997,	0.045000,	202.184998,	2.845000,	128.534988,	8.350000,	0.000000
271,	20.004999,	126.110001,	0.040000,	202.235001,	2.845000,	128.994995,	8.290000,	0.000000
