Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
88,	148.970001,	1131.804932,	0.000000,	0.000000,	0.000000,	1131.804993,	0.000000,	0.000000
89,	152.324997,	1148.939941,	0.000000,	0.000000,	0.000000,	1148.939972,	0.000000,	0.000000
90,	154.915009,	1164.479980,	0.000000,	0.000000,	0.000000,	1164.480042,	0.000000,	0.000000
91,	159.209991,	1182.599976,	0.000000,	0.000000,	0.000000,	1182.599976,	0.000000,	0.000000
92,	162.565002,	1202.204956,	0.000000,	0.000000,	0.000000,	1202.204987,	0.000000,	0.000000
93,	166.240005,	1220.505005,	0.000000,	0.000000,	0.000000,	1220.505005,	0.000000,	0.000000
94,	168.204987,	1238.925049,	0.000000,	0.000000,	0.000000,	1238.924988,	0.000000,	0.000000
95,	171.320007,	1257.734985,	0.000000,	0.000000,	0.000000,	1257.735016,	0.000000,	0.000000
96,	173.545013,	1280.550049,	0.000000,	0.000000,	0.000000,	1280.549988,	0.000000,	0.000000
97,	176.375000,	1299.614990,	0.000000,	0.000000,	0.000000,	1299.615021,	0.000000,	0.000000
98,	180.705002,	1318.885010,	0.000000,	0.000000,	0.000000,	1318.885010,	0.000000,	0.000000
99,	184.735001,	1339.050049,	0.000000,	0.000000,	0.000000,	1339.049988,	0.000000,	0.000000
100,	188.510010,	1362.814941,	0.000000,	0.000000,	0.000000,	1362.815002,	0.000000,	0.000000
101,	191.779999,	1224.145020,	132.910004,	29.154999,	0.000000,	1357.054993,	0.000000,	0.000000
102,	190.095001,	1105.125000,	199.815002,	107.500000,	0.000000,	1304.940002,	0.000000,	0.000000
103,	184.540009,	999.394958,	215.464996,	224.029999,	0.000000,	1214.859924,	0.000000,	0.000000
104,	173.175003,	905.059998,	207.334991,	352.174988,	0.000000,	1112.394989,	0.000000,	0.000000
105,	157.535004,	822.094971,	195.649994,	469.470001,	0.000000,	1017.745026,	0.000000,	0.000000
106,	141.550003,	745.809998,	179.614990,	574.900024,	0.000000,	925.425018,	0.000000,	0.000000
107,	125.604996,	678.684998,	164.485001,	666.339966,	0.000000,	843.170013,	0.000000,	0.000000
108,	111.649994,	615.679993,	150.755005,	743.564941,	0.000000,	766.434967,	0.000000,	0.000000
109,	99.680000,	557.084961,	136.714996,	809.050049,	0.000000,	693.799988,	0.000000,	0.000000
110,	89.119995,	504.544983,	125.695000,	861.734985,	0.000000,	630.239990,	0.000000,	0.000000
111,	80.449997,	457.494995,	114.410004,	904.570007,	0.000000,	571.904999,	0.000000,	0.000000
112,	71.925003,	415.090027,	104.139999,	937.890015,	0.000000,	519.230011,	0.000000,	0.000000
113,	64.425003,	377.515015,	96.005005,	946.194946,	0.485000,	474.005005,	12.930000,	0.000000
114,	59.055000,	346.385010,	98.029999,	920.544983,	1.875000,	446.289993,	39.160000,	0.000000
115,	55.270000,	322.220001,	107.830002,	874.204956,	3.780000,	433.830017,	69.044998,	0.000000
116,	53.285000,	304.559998,	119.654999,	825.535034,	5.350000,	429.565018,	90.559998,	0.000000
117,	52.709999,	291.914978,	129.565002,	788.925049,	7.070000,	428.550003,	100.449997,	0.000000
118,	52.875000,	281.010010,	133.455002,	763.660034,	8.270000,	422.734985,	104.049995,	0.000000
119,	51.725002,	271.434998,	134.434998,	748.520020,	8.865000,	414.735001,	103.620003,	0.000000
120,	51.505001,	263.679993,	133.630005,	739.589966,	9.415000,	406.725006,	98.279999,	0.000000
121,	50.860001,	255.684998,	130.134995,	735.229980,	9.540000,	395.360016,	92.035004,	0.000000
122,	48.705002,	246.255005,	126.175003,	734.849976,	9.525000,	381.955002,	84.940002,	0.000000
123,	46.830002,	237.290009,	120.059998,	734.724976,	9.335000,	366.684998,	78.614998,	0.000000
124,	45.840000,	228.040009,	114.250000,	735.739990,	8.985000,	351.275009,	71.834999,	0.000000
125,	43.705002,	218.820007,	109.300003,	735.434998,	8.715000,	336.835007,	65.150002,	0.000000
126,	42.369999,	211.169998,	103.229996,	733.630005,	8.375000,	322.774994,	59.510002,	0.000000
127,	40.785000,	202.550003,	97.779999,	728.214966,	8.110000,	308.439987,	57.500000,	0.000000
128,	39.740002,	195.195007,	96.360001,	717.630005,	8.130000,	299.685013,	57.619999,	0.000000
129,	38.399998,	188.699997,	95.529999,	701.744995,	8.210000,	292.439987,	58.574997,	0.000000
130,	36.985001,	184.169998,	95.625000,	684.209961,	8.225000,	288.020004,	61.205002,	0.000000
